Instance,Objective,Lower Bound,Gap(%),Solve Time(s),Truck Served,Drone Served,Jetsuite Served
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-55-n10-maxradius-40.txt,330.832,330.832,0,0.897,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-55-n10-maxradius-60.txt,306.815,306.815,0,17.941,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-55-n10-maxradius-100.txt,283.755,283.73,0.01,59.228,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-55-n10-maxradius-150.txt,236.658,236.64,0.01,40.708,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-55-n10-maxradius-200.txt,232.846,232.842,0,41.505,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-56-n10-maxradius-20.txt,322.641,322.641,0,0.17,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-56-n10-maxradius-40.txt,320.632,320.627,0,0.877,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-56-n10-maxradius-60.txt,303.285,303.285,0,6.755,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-56-n10-maxradius-100.txt,229.186,229.186,0,55.81,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-56-n10-maxradius-150.txt,190.326,190.317,0,21.705,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-56-n10-maxradius-200.txt,190.019,190.01,0,32.732,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-57-n10-maxradius-20.txt,244.592,244.579,0.01,1.521,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-57-n10-maxradius-40.txt,236.733,236.733,0,4.778,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-57-n10-maxradius-60.txt,234.025,234.025,0,21.207,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-57-n10-maxradius-100.txt,219.31,219.31,0,52.789,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-57-n10-maxradius-150.txt,219.31,219.3,0,307.149,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-57-n10-maxradius-200.txt,184.429,184.429,0,142.821,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-58-n10-maxradius-20.txt,297.242,297.242,0,0.548,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-58-n10-maxradius-40.txt,286.65,286.65,0,1.653,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-58-n10-maxradius-60.txt,282.268,282.245,0.01,18.944,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-58-n10-maxradius-100.txt,257.883,257.883,0,80.216,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-58-n10-maxradius-150.txt,189.961,189.961,0,24.965,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-58-n10-maxradius-200.txt,185.636,185.636,0,29.805,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-59-n10-maxradius-20.txt,343.708,343.708,0,0.665,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-59-n10-maxradius-40.txt,339.708,339.702,0,2.879,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-59-n10-maxradius-60.txt,334.333,334.312,0.01,6.964,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-59-n10-maxradius-100.txt,286.506,286.506,0,32.428,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-59-n10-maxradius-150.txt,189.789,189.781,0,68.109,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-59-n10-maxradius-200.txt,189.789,189.775,0.01,46.892,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-60-n10-maxradius-20.txt,277.617,277.617,0,0.28,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-60-n10-maxradius-40.txt,277.617,277.617,0,2.88,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-60-n10-maxradius-60.txt,263.909,263.909,0,35.355,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-60-n10-maxradius-100.txt,260.045,260.02,0.01,95.943,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-60-n10-maxradius-150.txt,214.579,214.569,0,43.236,3,6,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-60-n10-maxradius-200.txt,203.254,203.254,0,44.757,4,5,
